,Tx,Tx_err,rad,rad_width
0,5.468,0.212,18.984,18.984
1,5.397,0.129,56.951,18.984
2,5.236,0.116,94.919,18.984
3,5.137,0.114,132.887,18.984
4,5.034,0.115,170.854,18.984
5,5.109,0.126,208.822,18.984
6,5.123,0.135,246.789,18.984
7,5.039,0.134,284.757,18.984
8,5.148,0.166,322.725,18.984
9,5.09,0.174,360.692,18.984
10,4.841,0.171,398.66,18.984
11,4.834,0.205,436.628,18.984
12,5.023,0.241,474.595,18.984
13,5.143,0.238,516.36,22.781
14,4.773,0.278,558.124,18.984
15,5.005,0.31,596.092,18.984
16,4.701,0.271,634.059,18.984
17,3.981,0.229,672.027,18.984
18,4.231,0.296,709.994,18.984
19,4.372,0.402,747.962,18.984
20,4.255,0.345,785.93,18.984
21,3.612,0.338,823.897,18.984
22,3.341,0.395,861.865,18.984
23,4.006,0.368,918.816,37.968
24,1.979,0.177,998.548,41.764
