,Tx,Tx_err,rad,rad_width
0,5.206,0.101,17.254,17.254
1,5.09,0.069,51.761,17.254
2,5.291,0.071,86.268,17.254
3,5.356,0.077,120.775,17.254
4,5.303,0.084,155.282,17.254
5,5.338,0.096,189.789,17.254
6,5.229,0.103,224.296,17.254
7,5.123,0.115,258.803,17.254
8,4.998,0.11,293.31,17.254
9,4.722,0.11,327.817,17.254
10,5.146,0.157,362.325,17.254
11,4.787,0.161,396.832,17.254
12,4.615,0.167,431.339,17.254
13,4.925,0.21,465.846,17.254
14,4.784,0.204,503.804,20.704
15,4.298,0.225,541.761,17.254
16,4.554,0.264,576.269,17.254
17,4.388,0.293,610.776,17.254
18,4.18,0.296,645.283,17.254
19,3.972,0.237,679.79,17.254
20,3.912,0.344,714.297,17.254
21,3.674,0.364,748.804,17.254
22,2.617,0.256,783.311,17.254
23,3.071,0.381,817.818,17.254
24,3.169,0.504,852.325,17.254
25,2.535,0.367,886.832,17.254
26,2.086,0.383,921.34,17.254
27,1.966,0.339,955.847,17.254
28,3.024,0.865,990.354,17.254
29,1.29,0.252,1028.312,20.704
